FOV	paraxial height	real height	dist %
0.1	2.25E-03	2.25E-03	-6.00E-05
0.2	4.50E-03	4.50E-03	-2.43E-04
0.3	6.74E-03	6.74E-03	-5.47E-04
0.4	8.99E-03	8.99E-03	-9.73E-04
0.5	1.12E-02	1.12E-02	-1.52E-03
0.6	1.35E-02	1.35E-02	-2.19E-03
0.7	1.57E-02	1.57E-02	-2.98E-03
0.8	1.80E-02	1.80E-02	-3.89E-03
0.9	2.02E-02	2.02E-02	-4.93E-03
1	2.25E-02	2.25E-02	-6.08E-03
1.1	2.47E-02	2.47E-02	-7.36E-03
1.2	2.70E-02	2.70E-02	-8.76E-03
1.3	2.92E-02	2.92E-02	-1.03E-02
1.4	3.15E-02	3.15E-02	-1.19E-02
1.5	3.37E-02	3.37E-02	-1.37E-02
1.6	3.60E-02	3.60E-02	-1.56E-02
1.7	3.82E-02	3.82E-02	-1.76E-02
1.8	4.05E-02	4.05E-02	-1.97E-02
1.9	4.27E-02	4.27E-02	-2.20E-02
2	4.50E-02	4.50E-02	-2.44E-02
2.1	4.72E-02	4.72E-02	-2.69E-02
2.2	4.95E-02	4.95E-02	-2.95E-02
2.3	5.17E-02	5.17E-02	-3.22E-02
2.4	5.40E-02	5.40E-02	-3.51E-02
2.5	5.62E-02	5.62E-02	-3.81E-02
2.6	5.85E-02	5.85E-02	-4.12E-02
2.7	6.07E-02	6.07E-02	-4.44E-02
2.8	6.30E-02	6.30E-02	-4.78E-02
2.9	6.52E-02	6.52E-02	-5.13E-02
3	6.75E-02	6.75E-02	-5.49E-02
3.1	6.97E-02	6.97E-02	-5.86E-02
3.2	7.20E-02	7.20E-02	-6.25E-02
3.3	7.43E-02	7.42E-02	-6.65E-02
3.4	7.65E-02	7.65E-02	-7.06E-02
3.5	7.88E-02	7.87E-02	-7.48E-02
3.6	8.10E-02	8.10E-02	-7.92E-02
3.7	8.33E-02	8.32E-02	-8.36E-02
3.8	8.55E-02	8.55E-02	-8.82E-02
3.9	8.78E-02	8.77E-02	-9.30E-02
4	9.00E-02	9.00E-02	-9.78E-02
4.1	9.23E-02	9.22E-02	-1.03E-01
4.2	9.46E-02	9.45E-02	-1.08E-01
4.3	9.68E-02	9.67E-02	-1.13E-01
4.4	9.91E-02	9.90E-02	-1.18E-01
4.5	1.01E-01	1.01E-01	-1.24E-01
4.6	1.04E-01	1.03E-01	-1.30E-01
4.7	1.06E-01	1.06E-01	-1.35E-01
4.8	1.08E-01	1.08E-01	-1.41E-01
4.9	1.10E-01	1.10E-01	-1.47E-01
5	1.13E-01	1.12E-01	-1.53E-01
5.1	1.15E-01	1.15E-01	-1.60E-01
5.2	1.17E-01	1.17E-01	-1.66E-01
5.3	1.19E-01	1.19E-01	-1.72E-01
5.4	1.22E-01	1.22E-01	-1.79E-01
5.5	1.24E-01	1.24E-01	-1.86E-01
5.6	1.26E-01	1.26E-01	-1.93E-01
5.7	1.29E-01	1.28E-01	-2.00E-01
5.8	1.31E-01	1.31E-01	-2.07E-01
5.9	1.33E-01	1.33E-01	-2.14E-01
6	1.35E-01	1.35E-01	-2.21E-01
6.1	1.38E-01	1.37E-01	-2.29E-01
6.2	1.40E-01	1.40E-01	-2.37E-01
6.3	1.42E-01	1.42E-01	-2.44E-01
6.4	1.44E-01	1.44E-01	-2.52E-01
6.5	1.47E-01	1.46E-01	-2.60E-01
6.6	1.49E-01	1.49E-01	-2.69E-01
6.7	1.51E-01	1.51E-01	-2.77E-01
6.8	1.54E-01	1.53E-01	-2.85E-01
6.9	1.56E-01	1.55E-01	-2.94E-01
7	1.58E-01	1.58E-01	-3.03E-01
7.1	1.60E-01	1.60E-01	-3.12E-01
7.2	1.63E-01	1.62E-01	-3.21E-01
7.3	1.65E-01	1.64E-01	-3.30E-01
7.4	1.67E-01	1.67E-01	-3.39E-01
7.5	1.70E-01	1.69E-01	-3.48E-01
7.6	1.72E-01	1.71E-01	-3.58E-01
7.7	1.74E-01	1.73E-01	-3.67E-01
7.8	1.76E-01	1.76E-01	-3.77E-01
7.9	1.79E-01	1.78E-01	-3.87E-01
8	1.81E-01	1.80E-01	-3.97E-01
8.1	1.83E-01	1.83E-01	-4.07E-01
8.2	1.86E-01	1.85E-01	-4.18E-01
8.3	1.88E-01	1.87E-01	-4.28E-01
8.4	1.90E-01	1.89E-01	-4.39E-01
8.5	1.92E-01	1.92E-01	-4.49E-01
8.6	1.95E-01	1.94E-01	-4.60E-01
8.7	1.97E-01	1.96E-01	-4.71E-01
8.8	1.99E-01	1.98E-01	-4.83E-01
8.9	2.02E-01	2.01E-01	-4.94E-01
9	2.04E-01	2.03E-01	-5.05E-01
9.1	2.06E-01	2.05E-01	-5.17E-01
9.2	2.09E-01	2.07E-01	-5.28E-01
9.3	2.11E-01	2.10E-01	-5.40E-01
9.4	2.13E-01	2.12E-01	-5.52E-01
9.5	2.15E-01	2.14E-01	-5.64E-01
9.6	2.18E-01	2.17E-01	-5.77E-01
9.7	2.20E-01	2.19E-01	-5.89E-01
9.8	2.22E-01	2.21E-01	-6.02E-01
9.9	2.25E-01	2.23E-01	-6.14E-01
10	2.27E-01	2.26E-01	-6.27E-01
10.1	2.29E-01	2.28E-01	-6.40E-01
10.2	2.32E-01	2.30E-01	-6.53E-01
10.3	2.34E-01	2.32E-01	-6.67E-01
10.4	2.36E-01	2.35E-01	-6.80E-01
10.5	2.39E-01	2.37E-01	-6.94E-01
10.6	2.41E-01	2.39E-01	-7.07E-01
10.7	2.43E-01	2.42E-01	-7.21E-01
10.8	2.46E-01	2.44E-01	-7.35E-01
10.9	2.48E-01	2.46E-01	-7.49E-01
11	2.50E-01	2.48E-01	-7.63E-01
11.1	2.53E-01	2.51E-01	-7.78E-01
11.2	2.55E-01	2.53E-01	-7.92E-01
11.3	2.57E-01	2.55E-01	-8.07E-01
11.4	2.60E-01	2.58E-01	-8.22E-01
11.5	2.62E-01	2.60E-01	-8.37E-01
11.6	2.64E-01	2.62E-01	-8.52E-01
11.7	2.67E-01	2.64E-01	-8.68E-01
11.8	2.69E-01	2.67E-01	-8.83E-01
11.9	2.71E-01	2.69E-01	-8.99E-01
12	2.74E-01	2.71E-01	-9.14E-01
12.1	2.76E-01	2.73E-01	-9.30E-01
12.2	2.78E-01	2.76E-01	-9.46E-01
12.3	2.81E-01	2.78E-01	-9.63E-01
12.4	2.83E-01	2.80E-01	-9.79E-01
12.5	2.85E-01	2.83E-01	-9.95E-01
12.6	2.88E-01	2.85E-01	-1.01E+00
12.7	2.90E-01	2.87E-01	-1.03E+00
12.8	2.93E-01	2.90E-01	-1.05E+00
12.9	2.95E-01	2.92E-01	-1.06E+00
13	2.97E-01	2.94E-01	-1.08E+00
13.1	3.00E-01	2.96E-01	-1.10E+00
13.2	3.02E-01	2.99E-01	-1.12E+00
13.3	3.04E-01	3.01E-01	-1.13E+00
13.4	3.07E-01	3.03E-01	-1.15E+00
13.5	3.09E-01	3.06E-01	-1.17E+00
13.6	3.12E-01	3.08E-01	-1.19E+00
13.7	3.14E-01	3.10E-01	-1.21E+00
13.8	3.16E-01	3.12E-01	-1.22E+00
13.9	3.19E-01	3.15E-01	-1.24E+00
14	3.21E-01	3.17E-01	-1.26E+00
14.1	3.23E-01	3.19E-01	-1.28E+00
14.2	3.26E-01	3.22E-01	-1.30E+00
14.3	3.28E-01	3.24E-01	-1.32E+00
14.4	3.31E-01	3.26E-01	-1.34E+00
14.5	3.33E-01	3.29E-01	-1.36E+00
