Half FOV	Image Height(Y')	Optical Distortion(%)
0.0	0.00000000 	0.0
0.1	0.00221500 	0.0
0.2	0.00443200 	0.0
0.3	0.00664900 	0.0
0.4	0.00886600 	0.0
0.5	0.01108300 	0.0
0.6	0.01330000 	0.0
0.7	0.01551800 	0.0
0.8	0.01773500 	0.0
0.9	0.01995200 	0.0
1.0	0.02216900 	0.0
1.1	0.02438700 	0.0
1.2	0.02660400 	0.0
1.3	0.02882200 	0.0
1.4	0.03103900 	0.0
1.5	0.03325700 	0.0
1.6	0.03547500 	0.0
1.7	0.03769300 	0.0
1.8	0.03991100 	0.0
1.9	0.04213000 	0.0
2.0	0.04434800 	0.0
2.1	0.04656700 	0.0
2.2	0.04878500 	0.0
2.3	0.05100400 	0.0
2.4	0.05322400 	0.0
2.5	0.05544300 	0.0
2.6	0.05766200 	0.0
2.7	0.05988200 	0.0
2.8	0.06210200 	0.0
2.9	0.06432200 	0.0
3.0	0.06654200 	0.0
3.1	0.06876300 	0.0
3.2	0.07098400 	0.0
3.3	0.07320500 	-0.1
3.4	0.07542600 	-0.1
3.5	0.07764800 	-0.1
3.6	0.07987000 	-0.1
3.7	0.08209200 	-0.1
3.8	0.08431400 	-0.1
3.9	0.08653700 	-0.1
4.0	0.08876000 	-0.1
4.1	0.09098300 	-0.1
4.2	0.09320700 	-0.1
4.3	0.09543100 	-0.1
4.4	0.09765500 	-0.1
4.5	0.09988000 	-0.1
4.6	0.10210500 	-0.1
4.7	0.10433000 	-0.1
4.8	0.10655500 	-0.1
4.9	0.10878200 	-0.1
5.0	0.11100800 	-0.1
5.1	0.11323500 	-0.1
5.2	0.11546200 	-0.1
5.3	0.11769000 	-0.1
5.4	0.11991800 	-0.1
5.5	0.12214600 	-0.1
5.6	0.12437500 	-0.1
5.7	0.12660400 	-0.1
5.8	0.12883400 	-0.2
5.9	0.13106400 	-0.2
6.0	0.13329400 	-0.2
6.1	0.13552500 	-0.2
6.2	0.13775700 	-0.2
6.3	0.13998900 	-0.2
6.4	0.14222100 	-0.2
6.5	0.14445400 	-0.2
6.6	0.14668800 	-0.2
6.7	0.14892200 	-0.2
6.8	0.15115600 	-0.2
6.9	0.15339100 	-0.2
7.0	0.15562700 	-0.2
7.1	0.15786300 	-0.2
7.2	0.16009900 	-0.2
7.3	0.16233600 	-0.2
7.4	0.16457400 	-0.2
7.5	0.16681200 	-0.3
7.6	0.16905100 	-0.3
7.7	0.17129000 	-0.3
7.8	0.17353000 	-0.3
7.9	0.17577100 	-0.3
8.0	0.17801200 	-0.3
8.1	0.18025400 	-0.3
8.2	0.18249600 	-0.3
8.3	0.18473900 	-0.3
8.4	0.18698200 	-0.3
8.5	0.18922700 	-0.3
8.6	0.19147200 	-0.3
8.7	0.19371700 	-0.3
8.8	0.19596300 	-0.3
8.9	0.19821000 	-0.4
9.0	0.20045800 	-0.4
9.1	0.20270600 	-0.4
9.2	0.20495500 	-0.4
9.3	0.20720400 	-0.4
9.4	0.20945400 	-0.4
9.5	0.21170500 	-0.4
9.6	0.21395700 	-0.4
9.7	0.21620900 	-0.4
9.8	0.21846300 	-0.4
9.9	0.22071600 	-0.4
10.0	0.22297100 	-0.5
10.1	0.22522600 	-0.5
10.2	0.22748200 	-0.5
10.3	0.22973900 	-0.5
10.4	0.23199700 	-0.5
10.5	0.23425500 	-0.5
10.6	0.23651500 	-0.5
10.7	0.23877400 	-0.5
10.8	0.24103500 	-0.5
